Number Index,Player,Year,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
229,Maceo Baston,2008,November,3,3.2,1.3,0.7,1.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.3,0.0,0.3,1.0,2.8,0,0,0.3
229,Maceo Baston,2008,December,1,14.2,3.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,1.0,1.0,3.0,1.0,18.8,0,0,1.0
229,Maceo Baston,2008,January,6,9.2,3.5,1.0,2.0,0.5,0.0,0.0,0.0,1.5,2.3,0.643,0.7,1.0,1.7,0.5,0.2,0.5,0.2,1.5,8.1,0,0,0.7
229,Maceo Baston,2008,February,10,9.3,3.2,1.3,2.0,0.65,0.0,0.1,0.0,0.6,0.9,0.667,1.2,1.6,2.8,0.3,0.6,0.2,0.4,2.1,8.2,0,0,-0.5
229,Maceo Baston,2008,March,6,6.2,0.8,0.3,0.8,0.4,0.0,0.0,0.0,0.2,0.3,0.5,0.7,0.5,1.2,0.2,0.5,0.0,0.2,0.8,2.5,0,0,-4.0
229,Maceo Baston,2008,April,1,7.1,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2,0,0,-2.0
235,Tony Battie,2008,October,2,13.8,2.5,1.0,3.0,0.333,0.0,0.0,0.0,0.5,2.0,0.25,0.5,3.0,3.5,0.0,0.0,0.0,0.5,1.0,8.2,0,0,-6.5
235,Tony Battie,2008,November,15,16.5,5.5,2.4,3.8,0.632,0.0,0.0,0.0,0.7,0.9,0.786,1.5,2.9,4.3,0.4,0.9,0.5,0.9,1.9,14.5,0,0,0.8
235,Tony Battie,2008,December,14,15.9,4.1,1.7,3.9,0.444,0.0,0.1,0.0,0.7,1.3,0.556,1.4,2.7,4.1,0.4,0.5,0.4,0.2,1.4,10.8,0,0,2.9
235,Tony Battie,2008,January,12,14.5,4.2,1.8,3.6,0.488,0.0,0.2,0.0,0.7,0.8,0.889,1.1,1.9,3.0,0.2,0.5,0.2,0.1,1.3,8.3,0,0,2.6
235,Tony Battie,2008,February,14,12.5,3.9,1.7,3.2,0.533,0.1,0.2,0.333,0.4,0.7,0.5,0.9,1.7,2.6,0.4,0.3,0.3,0.2,1.4,8.7,0,0,-1.1
235,Tony Battie,2008,March,11,14.5,4.2,1.7,4.5,0.388,0.1,0.2,0.5,0.6,0.8,0.778,1.3,2.5,3.7,0.5,0.7,0.2,0.1,1.4,9.4,0,0,-0.7
235,Tony Battie,2008,April,9,21.8,8.4,3.6,7.7,0.464,0.0,0.1,0.0,1.3,2.0,0.667,1.2,2.8,4.0,0.9,0.9,0.7,0.3,1.2,16.7,0,0,4.7
236,Shane Battier,2008,November,2,24.1,10.0,4.5,8.5,0.529,1.0,4.0,0.25,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.5,1.5,19.0,0,0,9.5
236,Shane Battier,2008,December,14,32.6,7.3,2.5,6.3,0.398,1.6,3.9,0.418,0.6,0.7,0.9,0.6,3.1,3.8,2.3,1.0,0.5,0.7,2.1,17.9,0,0,6.1
236,Shane Battier,2008,January,10,32.8,5.0,1.8,5.1,0.353,1.0,3.0,0.333,0.4,0.4,1.0,1.3,4.9,6.2,2.1,0.8,0.7,1.0,2.7,19.9,0,0,0.5
236,Shane Battier,2008,February,11,34.8,7.3,2.2,5.5,0.393,1.8,4.3,0.426,1.1,1.6,0.667,0.7,4.4,5.1,2.4,0.8,1.2,1.3,1.7,23.5,0,0,5.9
236,Shane Battier,2008,March,15,35.4,6.8,2.1,5.0,0.427,1.0,3.5,0.283,1.5,1.7,0.885,0.8,3.6,4.4,2.5,0.8,0.9,0.7,1.5,19.8,0,0,4.0
236,Shane Battier,2008,April,8,35.7,10.3,3.4,7.8,0.435,2.6,5.5,0.477,0.9,1.1,0.778,1.0,3.8,4.8,2.4,0.8,0.9,1.1,1.8,24.8,0,0,2.1
240,Nicolas Batum,2008,October,2,12.7,7.0,3.0,5.0,0.6,0.5,1.5,0.333,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.5,15.2,0,0,-1.0
240,Nicolas Batum,2008,November,16,17.1,6.3,2.4,5.3,0.459,1.1,2.6,0.429,0.3,0.5,0.625,1.3,1.7,2.9,1.1,0.7,0.9,0.6,2.1,15.2,0,0,3.9
240,Nicolas Batum,2008,December,14,16.5,2.2,0.8,2.7,0.289,0.4,1.6,0.261,0.2,0.3,0.75,0.4,2.0,2.4,0.6,1.0,0.4,0.4,1.4,7.7,0,0,-0.9
240,Nicolas Batum,2008,January,14,21.0,5.9,2.1,4.9,0.426,0.9,2.5,0.343,0.9,1.1,0.75,1.2,2.3,3.5,1.1,0.3,0.5,0.5,1.8,14.4,0,0,4.1
240,Nicolas Batum,2008,February,12,17.0,5.3,2.0,4.8,0.414,0.8,2.4,0.345,0.4,0.4,1.0,0.4,1.4,1.8,0.9,0.8,0.7,0.6,1.4,11.7,0,0,0.7
240,Nicolas Batum,2008,March,14,20.5,7.4,2.9,5.4,0.539,0.6,1.8,0.36,0.9,1.1,0.867,1.8,1.5,3.3,1.2,0.6,0.7,0.5,2.1,16.3,0,0,4.1
240,Nicolas Batum,2008,April,7,19.9,4.4,1.6,3.7,0.423,0.9,1.6,0.545,0.4,0.4,1.0,1.3,1.3,2.6,0.4,0.1,0.4,0.3,1.7,10.2,0,0,2.1
244,Jerryd Bayless,2008,October,1,14.6,3.0,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,3.4,0,0,1.0
