Date,Team,Acquired,Relinquised,Injury part,Descriptive Verb,##,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS,&&,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
2011/1/7,Cavaliers,,Anderson Varejao,ankle/tendon/,torn/,##,December,15,32.5,9.8,3.9,7.1,0.542,0.0,0.0,0.0,2.1,2.9,0.721,3.5,6.9,10.4,1.1,1.3,1.1,1.5,3.0,30.3,4,0,-8.4,&&,January,1,35.3,4.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,1.0,1.0,1.0,0.0,2.0,17.1,0,0,-12.0
2011/1/8,Lakers,,Matt Barnes,knee/,torn/,##,December,15,21.4,6.6,2.5,5.4,0.457,0.5,2.1,0.258,1.1,1.3,0.895,1.5,3.6,5.1,1.3,1.4,0.7,0.5,2.3,17.1,1,0,-0.2,&&,January,4,16.0,2.8,1.3,2.8,0.455,0.3,1.5,0.167,0.0,0.0,0.0,0.3,2.0,2.3,0.8,0.8,0.3,0.5,2.0,8.1,0,0,0.5
2011/1/11,Lakers,,Matt Barnes,knee/,surgery/torn/,##,December,15,21.4,6.6,2.5,5.4,0.457,0.5,2.1,0.258,1.1,1.3,0.895,1.5,3.6,5.1,1.3,1.4,0.7,0.5,2.3,17.1,1,0,-0.2,&&,January,4,16.0,2.8,1.3,2.8,0.455,0.3,1.5,0.167,0.0,0.0,0.0,0.3,2.0,2.3,0.8,0.8,0.3,0.5,2.0,8.1,0,0,0.5
2011/1/20,Blazers,,Marcus Camby,knee/,surgery/torn/,##,December,13,25.3,6.0,2.4,5.2,0.463,0.0,0.0,0.0,1.2,1.8,0.667,3.0,8.8,11.8,2.1,1.5,1.1,2.1,2.2,31.2,3,0,1.4,&&,January,9,30.6,4.9,2.0,5.4,0.367,0.0,0.0,0.0,0.9,1.3,0.667,3.6,7.9,11.4,3.6,1.6,0.8,1.9,2.4,30.4,1,0,-1.1
2011/1/22,Magic,,Jason Williams,foot/,injury/,##,December,8,12.0,2.0,0.8,2.6,0.286,0.5,2.0,0.25,0.0,0.0,0.0,0.3,1.3,1.5,2.0,0.9,0.1,0.0,0.6,6.3,0,0,3.0,&&,January,1,4.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.5,0,0,7.0
2011/2/6,Celtics,,Marquis Daniels,spinal/,bruise/,##,January,15,18.9,5.7,2.4,4.8,0.5,0.1,0.5,0.125,0.8,1.3,0.6,0.4,1.9,2.3,1.5,0.9,0.6,0.2,1.2,12.2,0,0,-1.9,&&,February,3,9.6,3.3,1.3,2.7,0.5,0.0,0.0,0.0,0.7,1.0,0.667,0.3,0.3,0.7,1.0,0.0,0.3,0.3,0.7,7.6,0,0,0.0
2011/2/8,Mavericks,,Dominique Jones,foot/,fracture/,##,January,8,9.6,4.0,1.4,4.4,0.314,0.0,0.4,0.0,1.3,1.4,0.909,0.6,1.8,2.4,1.8,0.3,0.5,0.3,0.4,11.5,0,0,1.9,&&,February,1,2.6,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.2,0,0,-4.0
2011/2/11,Mavericks,,Dominique Jones,foot/,surgery/fracture/,##,January,8,9.6,4.0,1.4,4.4,0.314,0.0,0.4,0.0,1.3,1.4,0.909,0.6,1.8,2.4,1.8,0.3,0.5,0.3,0.4,11.5,0,0,1.9,&&,February,1,2.6,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.2,0,0,-4.0
2011/2/16,Grizzlies,,Rudy Gay,shoulder/,dislocate/,##,January,16,40.0,18.6,7.1,15.7,0.454,0.7,2.1,0.333,3.6,4.9,0.744,1.4,4.3,5.7,2.8,2.3,1.4,0.7,2.3,33.5,0,0,2.3,&&,February,7,37.8,18.7,7.0,14.4,0.485,0.6,1.7,0.333,4.1,5.1,0.806,1.4,6.6,8.0,3.4,2.6,1.9,1.0,2.1,39.5,3,0,4.6
2011/2/27,Cavaliers,,Antawn Jamison,finger/,broken/,##,January,16,35.6,21.3,7.7,18.2,0.423,1.7,4.6,0.365,4.2,5.4,0.779,2.2,5.9,8.1,2.1,1.6,1.1,0.5,2.6,37.3,5,0,-14.6,&&,February,11,38.5,22.0,7.9,18.3,0.433,2.0,5.8,0.344,4.2,5.5,0.754,1.5,5.7,7.3,1.7,1.6,1.2,0.9,2.7,38.0,3,0,-2.4
2011/2/28,Cavaliers,,Antawn Jamison,finger/,surgery/broken/,##,January,16,35.6,21.3,7.7,18.2,0.423,1.7,4.6,0.365,4.2,5.4,0.779,2.2,5.9,8.1,2.1,1.6,1.1,0.5,2.6,37.3,5,0,-14.6,&&,February,11,38.5,22.0,7.9,18.3,0.433,2.0,5.8,0.344,4.2,5.5,0.754,1.5,5.7,7.3,1.7,1.6,1.2,0.9,2.7,38.0,3,0,-2.4
