2012/2/7,Clippers,,Chauncey Billups,Achilles/tendon/,torn/
2012/2/7,Knicks,,Carmelo Anthony,groin/,strained/
2012/2/7,Nuggets,,Danilo Gallinari,hip/ankle/,fracture/
2012/2/9,Nets,,Keith Bogans,ankle/ligament/,fracture/torn/
2012/2/14,Clippers,,Chauncey Billups,Achilles/tendon/,surgery/torn/
2012/2/17,Mavericks,,Delonte West,finger/,surgery/broken/
2012/2/20,Blazers,,Greg Oden,knee/,surgery/fracture/
2012/2/22,Nets,,Shawne Williams,foot/,surgery/
2012/3/9,Timberwolves,,Ricky Rubio,knee/,torn/
2012/3/19,Hawks,,Jannero Pargo,appendectomy/,
2012/3/21,Blazers,,Elliot Williams,shoulder/,surgery/
2012/3/21,Timberwolves,,Ricky Rubio,knee/,surgery/torn/
2012/3/27,Raptors,,Jerryd Bayless,muscle/,torn/
2012/3/29,Nuggets,,Rudy Fernandez,back/,surgery/
2012/3/30,Celtics,,Jermaine O'Neal,wrist/,surgery/
2012/3/30,Suns,,Grant Hill,knee/,surgery/torn/
2012/4/2,Cavaliers,,Daniel Gibson,foot/ankle/tendon/,surgery/torn/
2012/4/2,Knicks,,Jeremy Lin,knee/,surgery/torn/
2012/4/6,Magic,,Hedo Turkoglu,facial/,surgery/fracture/
2012/4/12,Blazers,,LaMarcus Aldridge,hip/,surgery/torn/
2012/4/16,Wizards,,Roger Mason Jr.,finger/,surgery/broken/
2012/4/18,Warriors,,Nate Robinson,hamstring/,injury/
2012/4/20,Magic,,Dwight Howard,back/hernia/,surgery/herniated disc/
2012/4/21,Warriors,,Andrew Bogut,ankle/,surgery/scar/
2012/4/22,Rockets,,Kyle Lowry,hernia/,
2012/4/25,Warriors,,Stephen Curry,ankle/,surgery/
2012/4/26,Heat,,Chris Bosh,muscle/leg/,
2012/4/26,Warriors,,David Lee,muscle/,surgery/torn/
2012/4/28,Bulls,,Derrick Rose,knee/,torn/
2012/4/28,Knicks,,Iman Shumpert,knee/,torn/
2012/4/29,Clippers,,Caron Butler,hand/,fracture/
2012/4/30,Nuggets,,Wilson Chandler,hip/,surgery/torn/
2012/5/1,Rockets,,Kyle Lowry,hernia/,surgery/
2012/5/2,Suns,,Channing Frye,shoulder/,surgery/
2012/5/3,Bucks,,Carlos Delfino,hernia/,surgery/
2012/5/6,Knicks,,Baron Davis,knee/tendon/,torn/
2012/5/7,Bucks,,Luc Mbah a Moute,knee/,surgery/tendinitis/
2012/5/10,Blazers,,LaMarcus Aldridge,hip/,surgery/torn/
2012/5/12,Bulls,,Derrick Rose,knee/,surgery/torn/
2012/5/15,Timberwolves,,Nikola Pekovic,ankle/,surgery/
2012/5/16,Nuggets,,Al Harrington,knee/,surgery/torn/
2012/5/25,Celtics,,Avery Bradley,shoulder/,surgery/
2012/6/14,Celtics,,Mickael Pietrus,knee/,surgery/
2012/6/14,Celtics,,Ray Allen,ankle/,surgery/
2012/7/10,Heat,,Dwyane Wade,knee/,surgery/
2012/7/11,Thunder,,Hollis Thompson,groin/,surgery/
2012/7/12,Clippers,,Blake Griffin,knee/,torn/
2012/7/12,Thunder,,Kendrick Perkins,groin/,surgery/
2012/7/14,Cavaliers,,Kyrie Irving,hand/,broken/
2012/7/16,Clippers,,Blake Griffin,knee/,surgery/torn/
2012/7/18,Cavaliers,,Kyrie Irving,hand/,surgery/broken/
2012/7/19,Thunder,,Kendrick Perkins,wrist/ligament/,surgery/torn/
2012/7/27,Hornets,,Austin Rivers,ankle/,surgery/
2012/8/5,Hornets,,Robin Lopez,knee/,surgery/
2012/8/21,Clippers,,Chris Paul,thumb/ligament/,surgery/torn/
2012/9/7,Knicks,,Ronnie Brewer,knee/,surgery/torn/
2012/9/11,Blazers,,Elliot Williams,Achilles/tendon/,torn/
2012/9/14,Blazers,,Elliot Williams,Achilles/tendon/,surgery/torn/
2012/9/20,Suns,,Channing Frye,heart/,enlarged/
2012/9/24,Lakers,,Steve Blake,foot/,injury/
2012/9/26,Grizzlies,,Darrell Arthur,fibula/leg/,fracture/
2012/10/1,76ers,,Andrew Bynum,knee/,
2012/10/17,Timberwolves,,Kevin Love,hand/,fracture/
2012/10/19,Mavericks,,Dirk Nowitzki,knee/,surgery/
2012/10/21,Knicks,,Amar'e Stoudemire,knee/,rupture/
2012/10/30,Bulls,,Derrick Rose,knee/,surgery/torn/
2012/10/30,Knicks,,Amar'e Stoudemire,knee/,surgery/
2012/10/30,Knicks,,Iman Shumpert,knee/,surgery/torn/
2012/10/30,Nuggets,,Julyan Stone,hip/,surgery/
2012/10/30,Pacers,,Danny Granger,knee/,sore/
2012/10/30,Celtics,,Avery Bradley,shoulder/,surgery/
2012/11/3,Nuggets,,Wilson Chandler,hip/,surgery/torn/
2012/11/3,Warriors,,Brandon Rush,knee/,torn/
2012/11/6,Bobcats,,Gerald Henderson,foot/,sprained/
2012/11/7,Lakers,,Earl Clark,groin/,strained/
2012/11/11,Timberwolves,,Chase Budinger,knee/,torn/
2012/11/13,Timberwolves,,Chase Budinger,knee/,surgery/torn/
2012/11/15,Raptors,,Landry Fields,elbow/,surgery/nerve/
2012/11/16,Cavaliers,,Luke Harangody,knee/,
2012/11/16,Spurs,,Kawhi Leonard,knee/quadricep/,tendinitis/
2012/11/19,Cavaliers,,Kyrie Irving,finger/,fracture/
2012/11/19,Spurs,,Stephen Jackson,finger/,fracture/
2012/11/19,Timberwolves,,Brandon Roy,knee/,surgery/
2012/12/2,Bulls,,Richard Hamilton,foot/,plantar fasci/torn/
2012/12/3,Lakers,,Steve Blake,muscle/,surgery/torn/
2012/12/19,Celtics,,Chris Wilcox,thumb/,sprained/
2012/12/20,Magic,,Glen Davis,shoulder/,strained/
2012/12/20,Timberwolves,,Josh Howard,knee/,torn/
2012/12/21,Raptors,,Jonas Valanciunas,finger/,fracture/
2012/12/23,Bobcats,,Byron Mullens,ankle/,sprained/
